,Description,Chromosome.Name,Gene.Start..bp.,Gene.End..bp.,Associated.Gene.Name,Gene.Biotype
ENSG00000126217,MCF.2 cell line derived transforming sequence-like [Source:HGNC Symbol;Acc:14576],13,113548692,113754053,MCF2L,protein_coding
ENSG00000128513,protection of telomeres 1 [Source:HGNC Symbol;Acc:17284],7,124462440,124570037,POT1,protein_coding
ENSG00000163132,msh homeobox 1 [Source:HGNC Symbol;Acc:7391],4,4861393,4865663,MSX1,protein_coding
ENSG00000151468,coiled-coil domain containing 3 [Source:HGNC Symbol;Acc:23813],10,12938627,13141652,CCDC3,protein_coding
ENSG00000120063,"guanine nucleotide binding protein (G protein), alpha 13 [Source:HGNC Symbol;Acc:4381]",17,63006833,63052957,GNA13,protein_coding
ENSG00000166455,chromosome 16 open reading frame 46 [Source:HGNC Symbol;Acc:26525],16,81087102,81110872,C16orf46,protein_coding
ENSG00000171681,activating transcription factor 7 interacting protein [Source:HGNC Symbol;Acc:20092],12,14518610,14651697,ATF7IP,protein_coding
ENSG00000022267,four and a half LIM domains 1 [Source:HGNC Symbol;Acc:3702],X,135229559,135293518,FHL1,protein_coding
ENSG00000100147,coiled-coil domain containing 134 [Source:HGNC Symbol;Acc:26185],22,42196683,42222303,CCDC134,protein_coding
ENSG00000125999,"BPI fold containing family B, member 1 [Source:HGNC Symbol;Acc:16108]",20,31861286,31897684,BPIFB1,protein_coding
ENSG00000131398,"potassium voltage-gated channel, Shaw-related subfamily, member 3 [Source:HGNC Symbol;Acc:6235]",19,50815194,50836772,KCNC3,protein_coding
ENSG00000131080,ectodysplasin A2 receptor [Source:HGNC Symbol;Acc:17756],X,65815479,65859108,EDA2R,protein_coding
ENSG00000165118,chromosome 9 open reading frame 64 [Source:HGNC Symbol;Acc:28144],9,86553226,86571901,C9orf64,protein_coding
ENSG00000140905,glycine cleavage system protein H (aminomethyl carrier) [Source:HGNC Symbol;Acc:4208],16,81115566,81130008,GCSH,protein_coding
ENSG00000108039,"X-prolyl aminopeptidase (aminopeptidase P) 1, soluble [Source:HGNC Symbol;Acc:12822]",10,111624524,111683311,XPNPEP1,protein_coding
ENSG00000163348,pygopus family PHD finger 2 [Source:HGNC Symbol;Acc:30257],1,154929502,154936329,PYGO2,protein_coding
ENSG00000137478,FCH and double SH3 domains 2 [Source:HGNC Symbol;Acc:29114],11,72547790,72853306,FCHSD2,protein_coding
ENSG00000124787,ribonuclease P/MRP 40kDa subunit [Source:HGNC Symbol;Acc:20992],6,4994966,5004297,RPP40,protein_coding
ENSG00000198626,ryanodine receptor 2 (cardiac) [Source:HGNC Symbol;Acc:10484],1,237205505,237997288,RYR2,protein_coding
ENSG00000113966,ADP-ribosylation factor-like 6 [Source:HGNC Symbol;Acc:13210],3,97483365,97519953,ARL6,protein_coding
ENSG00000135407,advillin [Source:HGNC Symbol;Acc:14188],12,58191159,58212487,AVIL,protein_coding
ENSG00000198911,sterol regulatory element binding transcription factor 2 [Source:HGNC Symbol;Acc:11290],22,42229109,42303312,SREBF2,protein_coding
ENSG00000141367,"clathrin, heavy chain (Hc) [Source:HGNC Symbol;Acc:2092]",17,57697219,57773671,CLTC,protein_coding
ENSG00000172367,PDZ domain containing 3 [Source:HGNC Symbol;Acc:19891],11,119056166,119060932,PDZD3,protein_coding
ENSG00000170891,cytokine-like 1 [Source:HGNC Symbol;Acc:24435],4,5016313,5021199,CYTL1,protein_coding
ENSG00000178741,cytochrome c oxidase subunit Va [Source:HGNC Symbol;Acc:2267],15,75212132,75230509,COX5A,protein_coding
ENSG00000035681,neutral sphingomyelinase (N-SMase) activation associated factor [Source:HGNC Symbol;Acc:8017],8,59496063,59572403,NSMAF,protein_coding
ENSG00000047936,"c-ros oncogene 1 , receptor tyrosine kinase [Source:HGNC Symbol;Acc:10261]",6,117609463,117747018,ROS1,protein_coding
ENSG00000064666,calponin 2 [Source:HGNC Symbol;Acc:2156],19,1026298,1039068,CNN2,protein_coding
ENSG00000131508,ubiquitin-conjugating enzyme E2D 2 [Source:HGNC Symbol;Acc:12475],5,138906016,139008018,UBE2D2,protein_coding
ENSG00000135373,ets homologous factor [Source:HGNC Symbol;Acc:3246],11,34642640,34682604,EHF,protein_coding
ENSG00000147647,dihydropyrimidinase [Source:HGNC Symbol;Acc:3013],8,105342552,105479281,DPYS,protein_coding
ENSG00000177200,chromodomain helicase DNA binding protein 9 [Source:HGNC Symbol;Acc:25701],16,53088945,53363062,CHD9,protein_coding
ENSG00000130675,motor neuron and pancreas homeobox 1 [Source:HGNC Symbol;Acc:4979],7,156786745,156803345,MNX1,protein_coding
ENSG00000185215,"tumor necrosis factor, alpha-induced protein 2 [Source:HGNC Symbol;Acc:11895]",14,103589779,103603776,TNFAIP2,protein_coding
ENSG00000129221,aryl hydrocarbon receptor interacting protein-like 1 [Source:HGNC Symbol;Acc:359],17,6297013,6338519,AIPL1,protein_coding
ENSG00000164935,dendrocyte expressed seven transmembrane protein [Source:HGNC Symbol;Acc:18549],8,105351315,105368917,DCSTAMP,protein_coding
ENSG00000171502,"collagen, type XXIV, alpha 1 [Source:HGNC Symbol;Acc:20821]",1,86194916,86622626,COL24A1,protein_coding
ENSG00000185862,ecotropic viral integration site 2B [Source:HGNC Symbol;Acc:3500],17,29630784,29641130,EVI2B,protein_coding
ENSG00000176986,SEC24 family member C [Source:HGNC Symbol;Acc:10705],10,75504120,75531919,SEC24C,protein_coding
ENSG00000121764,hypocretin (orexin) receptor 1 [Source:HGNC Symbol;Acc:4848],1,32083287,32098119,HCRTR1,protein_coding
ENSG00000107959,pitrilysin metallopeptidase 1 [Source:HGNC Symbol;Acc:17663],10,3179920,3215003,PITRM1,protein_coding
ENSG00000266967,alanyl-tRNA synthetase domain containing 1 [Source:HGNC Symbol;Acc:28417],17,41102543,41116515,AARSD1,protein_coding
ENSG00000115361,"acyl-CoA dehydrogenase, long chain [Source:HGNC Symbol;Acc:88]",2,211052663,211090215,ACADL,protein_coding
ENSG00000182831,chromosome 16 open reading frame 72 [Source:HGNC Symbol;Acc:30103],16,9185505,9215497,C16orf72,protein_coding
ENSG00000169258,G protein regulated inducer of neurite outgrowth 1 [Source:HGNC Symbol;Acc:24835],5,176022803,176037134,GPRIN1,protein_coding
ENSG00000260362,Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:H3BT68],16,9760742,9770700,RP11-297M9.1,protein_coding
ENSG00000268130,Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0R0V9],13,113755563,113756608,AL137002.1,protein_coding
ENSG00000248712,coiled-coil domain containing 153 [Source:HGNC Symbol;Acc:27446],11,119060347,119067479,CCDC153,protein_coding
ENSG00000065485,"protein disulfide isomerase family A, member 5 [Source:HGNC Symbol;Acc:24811]",3,122785909,122944074,PDIA5,protein_coding
ENSG00000171735,calmodulin binding transcription activator 1 [Source:HGNC Symbol;Acc:18806],1,6845384,7829766,CAMTA1,protein_coding
ENSG00000116996,zona pellucida glycoprotein 4 [Source:HGNC Symbol;Acc:15770],1,238045705,238054094,ZP4,protein_coding
ENSG00000074317,"synuclein, beta [Source:HGNC Symbol;Acc:11140]",5,176047085,176057530,SNCB,protein_coding
ENSG00000164172,molybdenum cofactor synthesis 2 [Source:HGNC Symbol;Acc:7193],5,52391509,52405893,MOCS2,protein_coding
ENSG00000234965,shisa family member 8 [Source:HGNC Symbol;Acc:18351],22,42307297,42310570,SHISA8,protein_coding
ENSG00000123992,aspartyl aminopeptidase [Source:HGNC Symbol;Acc:2981],2,220238268,220264744,DNPEP,protein_coding
ENSG00000101391,CDK5 regulatory subunit associated protein 1 [Source:HGNC Symbol;Acc:15880],20,31946645,31989367,CDK5RAP1,protein_coding
ENSG00000057593,coagulation factor VII (serum prothrombin conversion accelerator) [Source:HGNC Symbol;Acc:3544],13,113760105,113774995,F7,protein_coding
ENSG00000162517,penta-EF-hand domain containing 1 [Source:HGNC Symbol;Acc:30009],1,32095463,32110497,PEF1,protein_coding
ENSG00000255801,,12,8700957,8720209,RP11-561P12.5,lincRNA
ENSG00000204065,transcription elongation factor A (SII)-like 5 [Source:HGNC Symbol;Acc:22282],X,102528619,102531800,TCEAL5,protein_coding
ENSG00000138639,Rho GTPase activating protein 24 [Source:HGNC Symbol;Acc:25361],4,86396267,86923823,ARHGAP24,protein_coding
ENSG00000129317,pseudouridylate synthase 7 homolog (S. cerevisiae)-like [Source:HGNC Symbol;Acc:25276],12,44122410,44152620,PUS7L,protein_coding
ENSG00000100731,pecanex homolog (Drosophila) [Source:HGNC Symbol;Acc:19740],14,71374122,71582099,PCNX,protein_coding
ENSG00000169016,E2F transcription factor 6 [Source:HGNC Symbol;Acc:3120],2,11584501,11606297,E2F6,protein_coding
ENSG00000131408,"nuclear receptor subfamily 1, group H, member 2 [Source:HGNC Symbol;Acc:7965]",19,50832910,50886239,NR1H2,protein_coding
ENSG00000175766,eukaryotic translation initiation factor 4E family member 1B [Source:HGNC Symbol;Acc:33179],5,176057683,176073642,EIF4E1B,protein_coding
ENSG00000133019,"cholinergic receptor, muscarinic 3 [Source:HGNC Symbol;Acc:1952]",1,239549865,240078750,CHRM3,protein_coding
ENSG00000133134,brain expressed X-linked 2 [Source:HGNC Symbol;Acc:30933],X,102564274,102565974,BEX2,protein_coding
ENSG00000250799,proline dehydrogenase (oxidase) 2 [Source:HGNC Symbol;Acc:17325],19,36290890,36304201,PRODH2,protein_coding
ENSG00000110395,"Cbl proto-oncogene, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:1541]",11,119076752,119178859,CBL,protein_coding
ENSG00000170442,keratin 86 [Source:HGNC Symbol;Acc:6463],12,52643084,52702947,KRT86,protein_coding
ENSG00000233280,"Beta/gamma crystallin domain-containing protein 3; cDNA FLJ60082, weakly similar to Uro-adherence factor A  [Source:UniProtKB/TrEMBL;Acc:B4DLE8]",3,97540884,97594132,CRYBG3,protein_coding
ENSG00000182916,transcription elongation factor A (SII)-like 7 [Source:HGNC Symbol;Acc:28336],X,102585124,102587254,TCEAL7,protein_coding
ENSG00000126218,coagulation factor X [Source:HGNC Symbol;Acc:3528],13,113777128,113803843,F10,protein_coding
ENSG00000175591,"purinergic receptor P2Y, G-protein coupled, 2 [Source:HGNC Symbol;Acc:8541]",11,72929343,72947397,P2RY2,protein_coding
ENSG00000183454,"glutamate receptor, ionotropic, N-methyl D-aspartate 2A [Source:HGNC Symbol;Acc:4585]",16,9852376,10276611,GRIN2A,protein_coding
ENSG00000080200,beta-gamma crystallin domain containing 3 [Source:HGNC Symbol;Acc:34427],3,97595819,97663810,CRYBG3,protein_coding
ENSG00000155816,formin 2 [Source:HGNC Symbol;Acc:14074],1,240177648,240638489,FMN2,protein_coding
ENSG00000108370,regulator of G-protein signaling 9 [Source:HGNC Symbol;Acc:10004],17,63133549,63223821,RGS9,protein_coding
ENSG00000165119,heterogeneous nuclear ribonucleoprotein K [Source:HGNC Symbol;Acc:5044],9,86582998,86595569,HNRNPK,protein_coding
ENSG00000115290,growth factor receptor-bound protein 14 [Source:HGNC Symbol;Acc:4565],2,165349322,165478358,GRB14,protein_coding
ENSG00000163293,NIPA-like domain containing 1 [Source:HGNC Symbol;Acc:27194],4,47916159,48042188,NIPAL1,protein_coding
ENSG00000147650,low density lipoprotein receptor-related protein 12 [Source:HGNC Symbol;Acc:31708],8,105501459,105601252,LRP12,protein_coding
ENSG00000171988,jumonji domain containing 1C [Source:HGNC Symbol;Acc:12313],10,64926981,65225722,JMJD1C,protein_coding
ENSG00000048140,tetraspanin 17 [Source:HGNC Symbol;Acc:13594],5,176074388,176086058,TSPAN17,protein_coding
ENSG00000120899,protein tyrosine kinase 2 beta [Source:HGNC Symbol;Acc:9612],8,27168999,27316903,PTK2B,protein_coding
ENSG00000161270,"nephrosis 1, congenital, Finnish type (nephrin) [Source:HGNC Symbol;Acc:7908]",19,36316866,36360189,NPHS1,protein_coding
ENSG00000126231,"protein Z, vitamin K-dependent plasma glycoprotein [Source:HGNC Symbol;Acc:9460]",13,113812968,113826694,PROZ,protein_coding
ENSG00000265118,,17,29632231,29645849,CTD-2370N5.3,protein_coding
ENSG00000171604,CXXC finger protein 5 [Source:HGNC Symbol;Acc:26943],5,139026884,139063467,CXXC5,protein_coding
ENSG00000178718,ribonuclease P/MRP 25kDa subunit [Source:HGNC Symbol;Acc:30361],15,75246757,75249805,RPP25,protein_coding
ENSG00000171631,"pyrimidinergic receptor P2Y, G-protein coupled, 6 [Source:HGNC Symbol;Acc:8543]",11,72975550,73009662,P2RY6,protein_coding
ENSG00000185222,WW domain binding protein 5 [Source:HGNC Symbol;Acc:30084],X,102611373,102613397,WBP5,protein_coding
ENSG00000100664,eukaryotic translation initiation factor 5 [Source:HGNC Symbol;Acc:3299],14,103799881,103811362,EIF5,protein_coding
ENSG00000269446,Protein LOC100996426  [Source:UniProtKB/TrEMBL;Acc:M0R357],7,156902674,156903764,AC006967.1,protein_coding
ENSG00000253350,Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:E5RFX5],8,105602961,106431488,RP11-127H5.1,protein_coding
ENSG00000268365,Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0R2V9],1,240629183,240643504,AL646016.1,protein_coding
ENSG00000105583,WD repeat domain 83 opposite strand [Source:HGNC Symbol;Acc:30203],19,12778885,12782170,WDR83OS,protein_coding
ENSG00000180875,"gremlin 2, DAN family BMP antagonist [Source:HGNC Symbol;Acc:17655]",1,240652873,240775449,GREM2,protein_coding
ENSG00000149089,APAF1 interacting protein [Source:HGNC Symbol;Acc:17581],11,34874641,34938046,APIP,protein_coding
ENSG00000198668,"calmodulin 1 (phosphorylase kinase, delta) [Source:HGNC Symbol;Acc:1442]",14,90862846,90874605,CALM1,protein_coding
ENSG00000009335,ubiquitin protein ligase E3C [Source:HGNC Symbol;Acc:16803],7,156931607,157062066,UBE3C,protein_coding
ENSG00000159958,"tumor necrosis factor receptor superfamily, member 13C [Source:HGNC Symbol;Acc:17755]",22,42321045,42322822,TNFRSF13C,protein_coding
ENSG00000163938,guanine nucleotide binding protein-like 3 (nucleolar) [Source:HGNC Symbol;Acc:29931],3,52715172,52728508,GNL3,protein_coding
ENSG00000049245,vesicle-associated membrane protein 3 [Source:HGNC Symbol;Acc:12644],1,7831329,7841492,VAMP3,protein_coding
ENSG00000169946,"zinc finger protein, FOG family member 2 [Source:HGNC Symbol;Acc:16700]",8,106330920,106816760,ZFPM2,protein_coding
ENSG00000092931,major facilitator superfamily domain containing 11 [Source:HGNC Symbol;Acc:25458],17,74731947,74777531,MFSD11,protein_coding
ENSG00000168530,"myosin, light chain 1, alkali; skeletal, fast [Source:HGNC Symbol;Acc:7582]",2,211154874,211179914,MYL1,protein_coding
ENSG00000047932,golgi-associated PDZ and coiled-coil motif containing [Source:HGNC Symbol;Acc:17643],6,117639374,117923691,GOPC,protein_coding
ENSG00000198515,cyclic nucleotide gated channel alpha 1 [Source:HGNC Symbol;Acc:2148],4,47937994,48018689,CNGA1,protein_coding
ENSG00000131400,napsin A aspartic peptidase [Source:HGNC Symbol;Acc:13395],19,50861734,50869087,NAPSA,protein_coding
ENSG00000198794,secretory carrier membrane protein 5 [Source:HGNC Symbol;Acc:30386],15,75249560,75313837,SCAMP5,protein_coding
ENSG00000205426,keratin 81 [Source:HGNC Symbol;Acc:6458],12,52679697,52685318,KRT81,protein_coding
ENSG00000095059,deoxyhypusine synthase [Source:HGNC Symbol;Acc:2869],19,12786531,12792716,DHPS,protein_coding
ENSG00000100162,centromere protein M [Source:HGNC Symbol;Acc:18352],22,42334725,42343168,CENPM,protein_coding
ENSG00000135697,"beta-carotene 15,15'-monooxygenase 1 [Source:HGNC Symbol;Acc:13815]",16,81272053,81324747,BCMO1,protein_coding
ENSG00000145545,"steroid-5-alpha-reductase, alpha polypeptide 1 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 1) [Source:HGNC Symbol;Acc:11284]",5,6633456,6669675,SRD5A1,protein_coding
ENSG00000132912,dynactin 4 (p62) [Source:HGNC Symbol;Acc:15518],5,150088002,150138671,DCTN4,protein_coding
ENSG00000126860,ecotropic viral integration site 2A [Source:HGNC Symbol;Acc:3499],17,29644578,29648902,EVI2A,protein_coding
ENSG00000064687,"ATP-binding cassette, sub-family A (ABC1), member 7 [Source:HGNC Symbol;Acc:37]",19,1040102,1065571,ABCA7,protein_coding
ENSG00000049246,period circadian clock 3 [Source:HGNC Symbol;Acc:8847],1,7844380,7905237,PER3,protein_coding
ENSG00000183955,SET domain containing (lysine methyltransferase) 8 [Source:HGNC Symbol;Acc:29489],12,123868320,123893905,SETD8,protein_coding
ENSG00000166681,nerve growth factor receptor (TNFRSF16) associated protein 1 [Source:HGNC Symbol;Acc:13388],X,102631268,102633005,NGFRAP1,protein_coding
ENSG00000082438,cordon-bleu WH2 repeat protein-like 1 [Source:HGNC Symbol;Acc:23571],2,165510134,165700189,COBLL1,protein_coding
ENSG00000249790,,12,8940853,8948385,RP11-20D14.6,lincRNA
ENSG00000261609,gigaxonin [Source:HGNC Symbol;Acc:4137],16,81348557,81424489,GAN,protein_coding
ENSG00000113763,unc-5 homolog A (C. elegans) [Source:HGNC Symbol;Acc:12567],5,176237478,176307897,UNC5A,protein_coding
ENSG00000110435,"pyruvate dehydrogenase complex, component X [Source:HGNC Symbol;Acc:21350]",11,34937376,35042138,PDHX,protein_coding
ENSG00000121542,SEC22 vesicle trafficking protein homolog A (S. cerevisiae) [Source:HGNC Symbol;Acc:20260],3,122920774,122992977,SEC22A,protein_coding
ENSG00000122417,outer dense fiber of sperm tails 2-like [Source:HGNC Symbol;Acc:29225],1,86814344,86862023,ODF2L,protein_coding
ENSG00000150977,Rab interacting lysosomal protein-like 2 [Source:HGNC Symbol;Acc:28787],12,123899936,123921264,RILPL2,protein_coding
ENSG00000084636,"collagen, type XVI, alpha 1 [Source:HGNC Symbol;Acc:2193]",1,32117848,32169920,COL16A1,protein_coding
ENSG00000172476,"RAB40A, member RAS oncogene family [Source:HGNC Symbol;Acc:18283]",X,102754678,102774417,RAB40A,protein_coding
ENSG00000129680,MAP7 domain containing 3 [Source:HGNC Symbol;Acc:25742],X,135295381,135338641,MAP7D3,protein_coding
ENSG00000198001,interleukin-1 receptor-associated kinase 4 [Source:HGNC Symbol;Acc:17967],12,44152747,44183346,IRAK4,protein_coding
ENSG00000126226,PCI domain containing 2 [Source:HGNC Symbol;Acc:25653],13,113831891,113863029,PCID2,protein_coding
ENSG00000219607,"protein phosphatase 1, regulatory subunit 3G [Source:HGNC Symbol;Acc:14945]",6,5085720,5087455,PPP1R3G,protein_coding
ENSG00000070087,profilin 2 [Source:HGNC Symbol;Acc:8882],3,149682691,149768575,PFN2,protein_coding
ENSG00000134363,follistatin [Source:HGNC Symbol;Acc:3971],5,52776239,52782964,FST,protein_coding
ENSG00000146005,pleckstrin and Sec7 domain containing 2 [Source:HGNC Symbol;Acc:19092],5,139175406,139224051,PSD2,protein_coding
ENSG00000182901,regulator of G-protein signaling 7 [Source:HGNC Symbol;Acc:10003],1,240931554,241520530,RGS7,protein_coding
ENSG00000184209,small nuclear ribonucleoprotein 35kDa (U11/U12) [Source:HGNC Symbol;Acc:30852],12,123942188,123957701,SNRNP35,protein_coding
ENSG00000198846,thymocyte selection-associated high mobility group box [Source:HGNC Symbol;Acc:18988],8,59717977,60031767,TOX,protein_coding
ENSG00000138621,phosphopantothenoylcysteine decarboxylase [Source:HGNC Symbol;Acc:28107],15,75315896,75409803,PPCDC,protein_coding
ENSG00000105793,GTP-binding protein 10 (putative) [Source:HGNC Symbol;Acc:25106],7,89964537,90020769,GTPBP10,protein_coding
ENSG00000152953,serine/threonine kinase 32B [Source:HGNC Symbol;Acc:14217],4,5053169,5502725,STK32B,protein_coding
ENSG00000256235,small integral membrane protein 3 [Source:HGNC Symbol;Acc:30248],5,150157508,150176296,SMIM3,protein_coding
ENSG00000214113,LYR motif containing 4 [Source:HGNC Symbol;Acc:21365],6,5102827,5261172,LYRM4,protein_coding
ENSG00000100167,septin 3 [Source:HGNC Symbol;Acc:10750],22,42372276,42394225,3-Sep,protein_coding
ENSG00000269636,,5,150157867,150176297,AC010441.1,protein_coding
ENSG00000110237,Rho guanine nucleotide exchange factor (GEF) 17 [Source:HGNC Symbol;Acc:21726],11,73019334,73080136,ARHGEF17,protein_coding
ENSG00000132004,F-box and WD repeat domain containing 9 [Source:HGNC Symbol;Acc:28136],19,12798867,12807457,FBXW9,protein_coding
ENSG00000237693,"immunity-related GTPase family, M [Source:HGNC Symbol;Acc:29597]",5,150226085,150280298,IRGM,protein_coding
ENSG00000132313,mitochondrial ribosomal protein L35 [Source:HGNC Symbol;Acc:14489],2,86426478,86440917,MRPL35,protein_coding
ENSG00000074966,TXK tyrosine kinase [Source:HGNC Symbol;Acc:12434],4,48068410,48136273,TXK,protein_coding
ENSG00000164465,"discoidin, CUB and LCCL domain containing 1 [Source:HGNC Symbol;Acc:21479]",6,117774980,117891021,DCBLD1,protein_coding
ENSG00000178966,RecQ mediated genome instability 1 [Source:HGNC Symbol;Acc:25764],9,86595626,86618985,RMI1,protein_coding
ENSG00000153815,c-Maf inducing protein [Source:HGNC Symbol;Acc:24319],16,81478775,81745367,CMIP,protein_coding
ENSG00000204569,"protein phosphatase 1, regulatory subunit 10 [Source:HGNC Symbol;Acc:9284]",6,30568177,30586389,PPP1R10,protein_coding
ENSG00000112941,PAP associated domain containing 7 [Source:HGNC Symbol;Acc:16705],5,6714718,6757161,PAPD7,protein_coding
ENSG00000176928,"glucosaminyl (N-acetyl) transferase 4, core 2 [Source:HGNC Symbol;Acc:17973]",5,74323289,74326724,GCNT4,protein_coding
ENSG00000145908,zinc finger protein 300 [Source:HGNC Symbol;Acc:13091],5,150273954,150284545,ZNF300,protein_coding
ENSG00000188026,Rab interacting lysosomal protein-like 1 [Source:HGNC Symbol;Acc:26814],12,123955925,124018265,RILPL1,protein_coding
ENSG00000145194,endothelin converting enzyme 2 [Source:HGNC Symbol;Acc:13275],3,183967438,184010819,ECE2,protein_coding
ENSG00000167173,chromosome 15 open reading frame 39 [Source:HGNC Symbol;Acc:24497],15,75487984,75504510,C15orf39,protein_coding
ENSG00000179603,"glutamate receptor, metabotropic 8 [Source:HGNC Symbol;Acc:4600]",7,126078652,126893348,GRM8,protein_coding
ENSG00000197506,"solute carrier family 28 (concentrative nucleoside transporter), member 3 [Source:HGNC Symbol;Acc:16484]",9,86890372,86955672,SLC28A3,protein_coding
ENSG00000054967,RELT tumor necrosis factor receptor [Source:HGNC Symbol;Acc:13764],11,73087309,73108519,RELT,protein_coding
ENSG00000131242,RAB11 family interacting protein 4 (class II) [Source:HGNC Symbol;Acc:30267],17,29718642,29865236,RAB11FIP4,protein_coding
ENSG00000135334,akirin 2 [Source:HGNC Symbol;Acc:21407],6,88384790,88411927,AKIRIN2,protein_coding
ENSG00000145700,ankyrin repeat domain 31 [Source:HGNC Symbol;Acc:26853],5,74364100,74532703,ANKRD31,protein_coding
ENSG00000062822,"polymerase (DNA directed), delta 1, catalytic subunit [Source:HGNC Symbol;Acc:9175]",19,50887461,50921273,POLD1,protein_coding
ENSG00000091483,fumarate hydratase [Source:HGNC Symbol;Acc:3700],1,241660903,241683061,FH,protein_coding
ENSG00000160883,hexokinase 3 (white cell) [Source:HGNC Symbol;Acc:4925],5,176307870,176326333,HK3,protein_coding
ENSG00000137975,chloride channel accessory 2 [Source:HGNC Symbol;Acc:2016],1,86889769,86922241,CLCA2,protein_coding
ENSG00000133142,transcription elongation factor A (SII)-like 4 [Source:HGNC Symbol;Acc:26121],X,102831159,102842657,TCEAL4,protein_coding
ENSG00000129195,"family with sequence similarity 64, member A [Source:HGNC Symbol;Acc:25483]",17,6347735,6354789,FAM64A,protein_coding
ENSG00000101400,"syntrophin, alpha 1 [Source:HGNC Symbol;Acc:11167]",20,31995761,32031698,SNTA1,protein_coding
ENSG00000169083,androgen receptor [Source:HGNC Symbol;Acc:644],X,66764465,66950461,AR,protein_coding
ENSG00000166669,activating transcription factor 7 interacting protein 2 [Source:HGNC Symbol;Acc:20397],16,10420291,10577495,ATF7IP2,protein_coding
ENSG00000158458,neuregulin 2 [Source:HGNC Symbol;Acc:7998],5,139226364,139422884,NRG2,protein_coding
ENSG00000123240,optineurin [Source:HGNC Symbol;Acc:17142],10,13141449,13180291,OPTN,protein_coding
ENSG00000049247,urotensin 2 [Source:HGNC Symbol;Acc:12636],1,7903143,7913572,UTS2,protein_coding
ENSG00000068615,receptor accessory protein 1 [Source:HGNC Symbol;Acc:25786],2,86441116,86565206,REEP1,protein_coding
ENSG00000211445,glutathione peroxidase 3 (plasma) [Source:HGNC Symbol;Acc:4555],5,150400124,150408554,GPX3,protein_coding
ENSG00000167195,"golgin A6 family, member C [Source:HGNC Symbol;Acc:32206]",15,75550940,75562540,GOLGA6C,protein_coding
ENSG00000176125,UFM1-specific peptidase 1 (non-functional) [Source:HGNC Symbol;Acc:33821],7,100486346,100487339,UFSP1,protein_coding
ENSG00000170523,keratin 83 [Source:HGNC Symbol;Acc:6460],12,52708085,52715182,KRT83,protein_coding
ENSG00000170500,LON peptidase N-terminal domain and ring finger 2 [Source:HGNC Symbol;Acc:24788],2,100889753,100939195,LONRF2,protein_coding
ENSG00000082929,chromosome 4 open reading frame 6 [Source:HGNC Symbol;Acc:13716],4,5526296,5529528,C4orf6,protein_coding
ENSG00000016864,glycosyltransferase 8 domain containing 1 [Source:HGNC Symbol;Acc:24870],3,52728505,52740048,GLT8D1,protein_coding
ENSG00000178538,carbonic anhydrase VIII [Source:HGNC Symbol;Acc:1382],8,61099906,61193971,CA8,protein_coding
ENSG00000140478,"golgin A6 family, member D [Source:HGNC Symbol;Acc:32204]",15,75575176,75586816,GOLGA6D,protein_coding
ENSG00000016490,chloride channel accessory 1 [Source:HGNC Symbol;Acc:2015],1,86934051,86965972,CLCA1,protein_coding
ENSG00000054965,"family with sequence similarity 168, member A [Source:HGNC Symbol;Acc:28999]",11,73111532,73309234,FAM168A,protein_coding
ENSG00000155629,phosphoinositide-3-kinase adaptor protein 1 [Source:HGNC Symbol;Acc:30034],10,98353069,98480271,PIK3AP1,protein_coding
ENSG00000269766,,11,35150091,35150215,AL356215.1,protein_coding
ENSG00000126259,kin of IRRE like 2 (Drosophila) [Source:HGNC Symbol;Acc:18816],19,36346763,36358011,KIRREL2,protein_coding
ENSG00000165476,receptor accessory protein 3 [Source:HGNC Symbol;Acc:23711],10,65281123,65384883,REEP3,protein_coding
ENSG00000153976,heparan sulfate (glucosamine) 3-O-sulfotransferase 3A1 [Source:HGNC Symbol;Acc:5196],17,13399006,13505244,HS3ST3A1,protein_coding
ENSG00000141526,"solute carrier family 16 (monocarboxylate transporter), member 3 [Source:HGNC Symbol;Acc:10924]",17,80186273,80219005,SLC16A3,protein_coding
ENSG00000117009,kynurenine 3-monooxygenase (kynurenine 3-hydroxylase) [Source:HGNC Symbol;Acc:6381],1,241695434,241758944,KMO,protein_coding
ENSG00000237248,long intergenic non-protein coding RNA 987 [Source:HGNC Symbol;Acc:48911],12,9392599,9395635,LINC00987,lincRNA
ENSG00000267964,"Uncharacterized protein; cDNA FLJ44715 fis, clone BRACE3021430  [Source:UniProtKB/TrEMBL;Acc:Q6ZTF3]",10,75531935,75532378,AC022400.2,protein_coding
ENSG00000170854,MYC induced nuclear antigen [Source:HGNC Symbol;Acc:19441],3,97660662,97691301,MINA,protein_coding
ENSG00000141378,peptidyl-tRNA hydrolase 2 [Source:HGNC Symbol;Acc:24265],17,57751997,57784987,PTRH2,protein_coding
ENSG00000213853,epithelial membrane protein 2 [Source:HGNC Symbol;Acc:3334],16,10622279,10674555,EMP2,protein_coding
